label,timestamp,waist_conf,waist_tx,waist_ty,waist_tz,waist_rx,waist_ry,waist_rz,chest_conf,chest_tx,chest_ty,chest_tz,chest_rx,chest_ry,chest_rz,upperLeg_L_conf,upperLeg_L_tx,upperLeg_L_ty,upperLeg_L_tz,upperLeg_L_rx,upperLeg_L_ry,upperLeg_L_rz,lowerLeg_L_conf,lowerLeg_L_tx,lowerLeg_L_ty,lowerLeg_L_tz,lowerLeg_L_rx,lowerLeg_L_ry,lowerLeg_L_rz,foot_L_conf,foot_L_tx,foot_L_ty,foot_L_tz,foot_L_rx,foot_L_ry,foot_L_rz,upperLeg_R_conf,upperLeg_R_tx,upperLeg_R_ty,upperLeg_R_tz,upperLeg_R_rx,upperLeg_R_ry,upperLeg_R_rz,lowerLeg_R_conf,lowerLeg_R_tx,lowerLeg_R_ty,lowerLeg_R_tz,lowerLeg_R_rx,lowerLeg_R_ry,lowerLeg_R_rz,foot_R_conf,foot_R_tx,foot_R_ty,foot_R_tz,foot_R_rx,foot_R_ry,foot_R_rz,upperArm_L_conf,upperArm_L_tx,upperArm_L_ty,upperArm_L_tz,upperArm_L_rx,upperArm_L_ry,upperArm_L_rz,foreArm_L_conf,foreArm_L_tx,foreArm_L_ty,foreArm_L_tz,foreArm_L_rx,foreArm_L_ry,foreArm_L_rz,hand_L_conf,hand_L_tx,hand_L_ty,hand_L_tz,hand_L_rx,hand_L_ry,hand_L_rz,upperArm_R_conf,upperArm_R_tx,upperArm_R_ty,upperArm_R_tz,upperArm_R_rx,upperArm_R_ry,upperArm_R_rz,foreArm_R_conf,foreArm_R_tx,foreArm_R_ty,foreArm_R_tz,foreArm_R_rx,foreArm_R_ry,foreArm_R_rz,hand_R_conf,hand_R_tx,hand_R_ty,hand_R_tz,hand_R_rx,hand_R_ry,hand_R_rz
0,0,0.99,10.45964,-31.6771,-279.72583,-3.77115,-3.28878,2.02277,0.99,0,21.56315,-0.00005,2.52352,0.75244,-0.01937,1,7.45249,0.35822,3.62947,1.45858,4.40722,6.18391,0.5,0,-41.24844,0.00005,3.90156,-2.4002,0.29157,0.15,0,-39.33596,0.00002,14.17347,-0.70006,0.17142,1,-7.2805,-0.00674,3.62947,-1.87985,-6.48447,-1.62121,0.49,0,-41.49088,0.00002,3.81895,5.96956,-0.63277,0.17,0,-39.42038,-0.00002,15.07894,1.95309,-0.50828,1,14.98753,-0.00001,0.00002,0.2933,-3.00692,-62.12317,0.8,22.88801,0.00001,0.00002,-3.13023,-12.56727,-1.32677,0.8,24.16521,-0.00001,0,1.92913,5.5357,-12.91556,1,-16.55732,0,0.00002,3.81475,2.48002,60.56157,0.1,-22.79892,0,0.00002,-0.79808,13.68242,3.88562,0.8,-23.67,-0.00001,-0.00005,9.63444,-3.51188,19.03251
0,0.03333,0.99,10.45217,-31.66621,-279.71445,-3.76459,-3.34249,2.04903,0.99,0,21.55689,-0.00005,2.52349,0.80516,-0.02169,1,7.45249,0.35822,3.62947,1.42179,4.56194,6.19433,0.5,0,-41.24844,0.00005,3.90134,-2.47703,0.29679,0.15,0,-39.33596,0.00002,14.18309,-0.6865,0.16821,1,-7.2805,-0.00674,3.62947,-1.98821,-6.47214,-1.72399,0.49,0,-41.49088,0.00002,3.81859,6.02199,-0.63626,0.17,0,-39.42038,-0.00002,15.11178,1.97143,-0.51415,1,14.98753,-0.00001,0.00002,0.26646,-3.01991,-62.21076,0.8,22.87763,0.00001,0.00002,-3.13176,-12.63997,-1.42296,0.8,24.31581,-0.00001,0,2.79103,1.97695,-13.84595,1,-16.53507,0,0.00002,3.757,2.41857,60.54989,0.1,-22.81124,0,0.00002,-0.81258,13.83625,3.83725,0.8,-23.64862,-0.00001,-0.00005,7.52465,2.38229,16.23753
0,0.06667,0.99,10.43975,-31.64758,-279.73828,-3.78009,-3.30974,2.04075,0.99,0,21.54594,-0.00005,2.52349,0.80877,-0.02185,1,7.45249,0.35822,3.62947,1.36162,4.4489,6.21879,0.5,0,-41.24844,0.00005,3.90154,-2.40564,0.29194,0.15,0,-39.33596,0.00002,14.20039,-0.64805,0.15898,1,-7.2805,-0.00674,3.62947,-1.8826,-6.48424,-1.62827,0.49,0,-41.49088,0.00002,3.81875,5.9983,-0.63468,0.17,0,-39.42038,-0.00002,15.08071,2.00915,-0.52294,1,14.98425,-0.00001,0.00002,0.19699,-2.98127,-62.30819,0.8,22.90573,0.00001,0.00002,-3.14122,-12.69307,-1.34282,0.8,24.34706,-0.00001,0,4.06662,7.10397,-15.19305,1,-16.53258,0,0.00002,3.6253,2.26394,60.67701,0.1,-22.8992,0,0.00002,-0.90048,14.06483,3.69909,0.8,-23.58269,-0.00001,-0.00005,10.33332,-5.26009,19.87064
0,0.1,0.99,10.43764,-31.64393,-279.73911,-3.77808,-3.30365,2.03631,0.99,0,21.54864,-0.00005,2.52349,0.81,-0.0219,1,7.45249,0.35822,3.62947,1.36637,4.49913,6.21946,0.5,0,-41.24844,0.00005,3.90145,-2.43808,0.29414,0.15,0,-39.33596,0.00002,14.19913,-0.6715,0.16472,1,-7.2805,-0.00674,3.62947,-1.85354,-6.3847,-1.57696,0.49,0,-41.49088,0.00002,3.8193,5.91955,-0.62943,0.17,0,-39.42038,-0.00002,15.07203,1.98707,-0.5169,1,14.96768,-0.00001,0.00002,0.19372,-2.97908,-62.30496,0.8,22.92512,0.00001,0.00002,-3.22567,-12.678,-1.41281,0.8,24.42757,-0.00001,0,2.04974,4.64393,-12.96996,1,-16.53307,0,0.00002,3.68337,2.27645,60.65619,0.1,-22.92958,0,0.00002,-0.85391,14.06945,3.6824,0.8,-23.54196,-0.00001,-0.00005,8.61911,0.15461,17.98376
0,0.13333,0.99,10.43456,-31.63805,-279.73987,-3.78202,-3.30595,2.04228,0.99,0,21.54741,-0.00005,2.52349,0.80312,-0.0216,1,7.45249,0.35822,3.62947,1.433,4.51105,6.20674,0.5,0,-41.24844,0.00005,3.90145,-2.43747,0.2941,0.15,0,-39.33596,0.00002,14.18335,-0.69061,0.16922,1,-7.2805,-0.00674,3.62947,-1.84806,-6.36806,-1.581,0.49,0,-41.49088,0.00002,3.81931,5.91739,-0.62929,0.17,0,-39.42038,-0.00002,15.07076,1.96574,-0.5113,1,14.97192,-0.00001,0.00002,0.21213,-2.95055,-62.27036,0.8,22.92444,0.00001,0.00002,-3.19581,-12.76776,-1.4358,0.8,24.47491,-0.00001,0,3.30512,3.52025,-14.33271,1,-16.53382,0,0.00002,3.75477,2.26886,60.65689,0.1,-22.92543,0,0.00002,-0.90795,14.02164,3.67631,0.8,-23.55715,-0.00001,-0.00005,9.44581,-3.23467,18.91068
0,0.16667,0.99,10.43131,-31.63634,-279.73087,-3.78262,-3.38555,2.03699,0.99,0,21.54568,-0.00005,2.52347,0.8436,-0.02338,1,7.45249,0.35822,3.62947,1.52802,4.60951,6.21761,0.5,0,-41.24844,0.00005,3.90142,-2.44954,0.29492,0.15,0,-39.33596,0.00002,14.16268,-0.69479,0.17001,1,-7.2805,-0.00674,3.62947,-1.84014,-6.23812,-1.53164,0.49,0,-41.49088,0.00002,3.81958,5.87897,-0.62673,0.17,0,-39.42038,-0.00002,15.06958,1.959,-0.50951,1,14.97068,-0.00001,0.00002,0.2593,-2.9984,-62.29541,0.8,22.91054,0.00001,0.00002,-3.21589,-12.68535,-1.37655,0.8,24.51801,-0.00001,0,3.11804,2.1294,-14.11483,1,-16.53284,0,0.00002,3.7641,2.36027,60.66525,0.1,-22.96795,0,0.00002,-0.88824,13.90566,3.69197,0.8,-23.51833,-0.00001,-0.00005,8.76178,-2.01469,17.987
0,0.2,0.99,10.42807,-31.55148,-279.7435,-3.76566,-3.33418,2.05383,0.99,0,21.54375,-0.00005,2.52348,0.82091,-0.01485,1,7.45249,0.35822,3.62947,1.49609,4.42704,6.20656,0.5,0,-41.24844,0.00005,3.90173,-2.3396,0.28744,0.15,0,-39.33596,0.00002,14.1694,-0.6669,0.16326,1,-7.2805,-0.00674,3.62947,-1.82524,-6.44373,-1.57339,0.49,0,-41.49088,0.00002,3.81866,6.01152,-0.63556,0.17,0,-39.42038,-0.00002,15.06805,1.98518,-0.51627,1,14.95903,-0.00001,0.00002,0.16755,-2.95836,-62.29104,0.8,22.90396,0.00001,0.00002,-3.18614,-12.74734,-1.44507,0.8,24.56921,-0.00001,0,4.84482,7.60956,-16.03448,1,-16.51197,0,0.00002,3.67481,2.33732,60.7029,0.1,-22.97298,0,0.00002,-0.89452,13.92731,3.65371,0.8,-23.51395,-0.00001,-0.00005,9.06938,-2.24889,18.40731
0,0.23333,0.99,10.425,-31.47595,-279.7536,-3.75044,-3.38152,2.08038,0.99,0,21.54193,-0.00005,2.52347,0.83432,0.00309,1,7.45249,0.35822,3.62947,1.4821,4.51729,6.14753,0.5,0,-41.24844,0.00005,3.90167,-2.36141,0.28893,0.15,0,-39.33596,0.00002,14.17367,-0.70718,0.17317,1,-7.2805,-0.00674,3.62947,-1.84894,-6.26598,-1.56245,0.49,0,-41.49088,0.00002,3.81937,5.90978,-0.62878,0.17,0,-39.42038,-0.00002,15.06718,1.94363,-0.50543,1,14.98445,-0.00001,0.00002,0.24413,-3.0124,-62.39083,0.8,22.93667,0.00001,0.00002,-3.19836,-12.78012,-1.36669,0.8,24.55561,-0.00001,0,3.81258,5.15014,-14.8039,1,-16.49336,0,0.00002,3.75582,2.32399,60.6862,0.1,-22.93074,0,0.00002,-0.91314,14.00658,3.61695,0.8,-23.55544,-0.00001,-0.00005,9.05199,-1.98543,18.31322
0,0.26667,0.99,10.41507,-31.40511,-279.76566,-3.73738,-3.36696,2.084,0.99,0,21.54054,-0.00005,2.5217,0.8501,0.00317,1,7.45249,0.35822,3.62947,1.50088,4.50767,6.20454,0.5,0,-41.24844,0.00005,3.90164,-2.37266,0.28969,0.15,0,-39.33596,0.00002,14.17308,-0.65988,0.16158,1,-7.2805,-0.00674,3.62947,-1.84278,-6.35613,-1.56802,0.49,0,-41.49088,0.00002,3.8189,5.97767,-0.63331,0.17,0,-39.42038,-0.00002,15.06575,1.98697,-0.51666,1,14.99261,-0.00001,0.00002,0.36102,-3.09274,-62.35421,0.8,22.96648,0.00001,0.00002,-3.22326,-12.65956,-1.54182,0.8,24.71714,-0.00001,0,4.06753,7.94815,-15.04197,1,-16.495,0,0.00002,3.62985,2.31083,60.63533,0.1,-22.90891,0,0.00002,-0.91773,13.9189,3.73158,0.8,-23.28749,-0.00001,-0.00005,7.72652,-3.44493,17.20329
0,0.3,0.99,10.4064,-31.34643,-279.76938,-3.72074,-3.31751,2.07804,0.99,0,21.53989,-0.00005,2.52721,0.81402,-0.00139,1,7.45249,0.36113,3.62947,1.48066,4.48105,6.2101,0.5,0,-41.24844,0.00005,3.9016,-2.38484,0.29052,0.15,0,-39.33596,0.00002,14.17164,-0.69366,0.16983,1,-7.2805,-0.00674,3.62947,-1.82334,-6.22182,-1.43729,0.49,0,-41.49088,0.00002,3.81999,5.81858,-0.62271,0.17,0,-39.42038,-0.00002,15.06532,1.94971,-0.50695,1,14.9699,-0.00001,0.00002,0.19215,-3.05994,-62.30611,0.8,22.95778,0.00001,0.00002,-3.19283,-12.68747,-1.59172,0.8,24.73403,-0.00001,0,5.09037,6.77677,-16.11433,1,-16.49755,0,0.00002,3.59801,2.2934,60.6692,0.1,-22.87036,0,0.00002,-0.93109,13.93442,3.62419,0.8,-23.34414,-0.00001,-0.00005,7.447,0.49293,16.71774
0,0.33333,0.99,10.39863,-31.29385,-279.77032,-3.7014,-3.32622,2.07527,0.99,0,21.54094,-0.00005,2.53247,0.78444,-0.00601,1,7.45249,0.36189,3.62947,1.47776,4.59366,6.22729,0.5,0,-41.24844,0.00005,3.90135,-2.47145,0.29641,0.15,0,-39.33596,0.00002,14.16981,-0.7582,0.18561,1,-7.2805,-0.00674,3.62947,-1.83148,-6.12372,-1.42442,0.49,0,-41.49088,0.00002,3.82044,5.75143,-0.61823,0.17,0,-39.42038,-0.00002,15.06813,1.8803,-0.48898,1,14.96405,-0.00001,0.00002,0.13356,-3.00567,-62.14168,0.8,22.95751,0.00001,0.00002,-3.14598,-12.77174,-1.59349,0.8,24.4347,-0.00001,0,3.92631,4.90185,-15.1572,1,-16.49966,0,0.00002,3.66738,2.34566,60.65456,0.1,-22.90227,0,0.00002,-0.91711,13.91533,3.62643,0.8,-23.31868,-0.00001,-0.00005,7.93974,-1.61754,17.24071
0,0.36667,0.99,10.39138,-31.24419,-279.77081,-3.6923,-3.30612,2.0923,0.99,0,21.54369,-0.00005,2.5292,0.75971,-0.00581,1,7.45249,0.36256,3.62947,1.4771,4.55279,6.20625,0.5,0,-41.24844,0.00005,3.90139,-2.45845,0.29553,0.15,0,-39.33596,0.00002,14.16813,-0.77725,0.19026,1,-7.2805,-0.00674,3.62947,-1.87877,-6.18259,-1.46985,0.49,0,-41.49088,0.00002,3.82021,5.78522,-0.62049,0.17,0,-39.42038,-0.00002,15.08363,1.85699,-0.4834,1,14.95735,-0.00001,0.00002,0.13215,-2.96466,-62.07784,0.8,22.99169,0.00001,0.00002,-3.17447,-12.86433,-1.70286,0.8,24.60035,-0.00001,0,3.46985,3.66023,-14.51048,1,-16.49872,0,0.00002,3.58808,2.27407,60.60825,0.1,-22.8943,0,0.00002,-0.9099,13.96264,3.60711,0.8,-23.31358,-0.00001,-0.00005,7.2698,0.80276,16.37326
0,0.4,0.99,10.38531,-31.20389,-279.77185,-3.67574,-3.28815,2.11142,0.99,0,21.54698,-0.00005,2.5284,0.73728,-0.00509,1,7.45249,0.36318,3.62947,1.45927,4.55339,6.17851,0.5,0,-41.24844,0.00005,3.90133,-2.47761,0.29683,0.15,0,-39.33596,0.00002,14.16677,-0.80512,0.19706,1,-7.2805,-0.00674,3.62947,-1.87964,-6.18527,-1.49911,0.49,0,-41.49088,0.00002,3.82031,5.77115,-0.61955,0.17,0,-39.42038,-0.00002,15.08243,1.82733,-0.47564,1,14.92795,-0.00001,0.00002,0.21106,-2.93063,-62.06599,0.8,23.02385,0.00001,0.00002,-3.1627,-12.88017,-1.70308,0.8,24.61223,-0.00001,0,3.48111,4.42567,-14.44639,1,-16.48628,0,0.00002,3.66998,2.34265,60.61847,0.1,-22.92758,0,0.00002,-0.93793,13.85609,3.56976,0.8,-23.28895,-0.00001,-0.00005,7.55722,0.0676,16.62863
0,0.43333,0.99,10.37781,-31.16685,-279.77628,-3.64535,-3.27831,2.11676,0.99,0,21.55163,-0.00005,2.54481,0.74247,-0.01023,1,7.45249,0.36376,3.62983,1.43941,4.49863,6.12251,0.5,0,-41.24844,0.00005,3.90146,-2.43563,0.29398,0.15,0,-39.33596,0.00002,14.16618,-0.79711,0.19509,1,-7.28234,-0.00674,3.62982,-1.90563,-6.15217,-1.49104,0.49,0,-41.49088,0.00002,3.82057,5.73208,-0.61695,0.17,0,-39.42038,-0.00002,15.08922,1.83508,-0.47786,1,14.90009,-0.00001,0.00002,0.3027,-2.96091,-61.99627,0.8,23.04961,0.00001,0.00002,-3.16771,-12.87825,-1.79193,0.8,24.66308,-0.00001,0,3.52136,5.57841,-14.50535,1,-16.48584,0,0.00002,3.63044,2.39691,60.62452,0.1,-22.95425,0,0.00002,-0.91738,13.8463,3.45904,0.8,-23.31202,-0.00001,-0.00005,7.41042,1.05953,16.24255
0,0.46667,0.99,10.36337,-31.14467,-279.7525,-3.63614,-3.24143,2.11783,0.99,0,21.55578,-0.00005,2.54183,0.7524,-0.01211,1,7.45249,0.3643,3.63022,1.46571,4.4977,6.14245,0.5,0,-41.24844,0.00005,3.90136,-2.46886,0.29624,0.15,0,-39.33596,0.00002,14.16669,-0.75352,0.18443,1,-7.28419,-0.00674,3.63021,-1.88029,-6.16713,-1.48286,0.49,0,-41.49088,0.00002,3.82066,5.71806,-0.61601,0.17,0,-39.42038,-0.00002,15.07948,1.87167,-0.48709,1,14.89503,-0.00001,0.00002,0.37229,-2.96593,-61.97919,0.8,23.02911,0.00001,0.00002,-3.18625,-12.89553,-1.81111,0.8,24.79196,-0.00001,0,4.26872,4.13381,-15.42493,1,-16.49099,0,0.00002,3.60715,2.47783,60.63308,0.1,-23.1073,0,0.00002,-0.89795,13.68206,3.4238,0.8,-23.13907,-0.00001,-0.00005,7.41626,3.22285,16.21464
0,0.5,0.99,10.36462,-31.10441,-279.75262,-3.6323,-3.20232,2.11824,0.99,0,21.55665,-0.00005,2.53794,0.74142,-0.01304,1,7.44982,0.36483,3.63063,1.40484,4.50289,6.12376,0.5,0,-41.24844,0.00005,3.90127,-2.49896,0.29829,0.15,0,-39.33596,0.00002,14.18124,-0.76027,0.18627,1,-7.28535,-0.00674,3.63061,-1.92827,-6.24006,-1.57265,0.49,0,-41.49088,0.00002,3.82037,5.76276,-0.61899,0.17,0,-39.42038,-0.00002,15.09544,1.86304,-0.48534,1,14.8946,-0.00001,0.00002,0.28779,-2.93442,-61.97766,0.8,23.03599,0.00001,0.00002,-3.13927,-13.21691,-1.73898,0.8,23.86773,-0.00001,0,0.86379,5.43147,-12.95517,1,-16.4983,0,0.00002,3.62555,2.50621,60.63765,0.1,-23.18452,0,0.00002,-0.889,13.61056,3.3647,0.8,-23.06218,-0.00001,-0.00005,7.70297,0.06899,16.61705
