,bib,label,,
16.37575,1.015671,0,,
17.407047,1.031297,0,,
18.438344,1.031297,0,,
19.454015,1.015671,0,,
20.469687,1.015671,0,,
21.469733,1.000046,0,,
22.454153,0.98442,0,,s
23.454199,1.000046,0,,
24.391742,0.937543,0,,
25.360536,0.968794,0,,
26.32933,0.968794,0,,
27.173119,0.843789,0,,
28.095036,0.921917,0,,
29.032579,0.937543,0,,
29.985748,0.953169,0,,
30.954542,0.968794,0,,
31.845208,0.890666,0,,
32.782751,0.937543,0,,
33.673416,0.890666,0,,
34.610959,0.937543,0,,
35.564128,0.953169,0,,
36.501671,0.937543,0,,
37.361085,0.859414,0,,
38.251751,0.890666,0,,
39.189294,0.937543,0,,
40.126837,0.937543,0,,
41.033128,0.906291,0,,
41.970671,0.937543,0,,
42.970717,1.000046,0,,
43.986388,1.015671,0,,
44.923931,0.937543,0,,
45.830223,0.906291,0,,
46.736514,0.906291,0,,
47.642806,0.906291,0,,
48.580349,0.937543,0,,
49.48664,0.906291,0,,
50.299177,0.812537,0,,
51.174217,0.87504,0,,
52.080509,0.906291,0,,
53.018052,0.937543,0,,
53.986846,0.968794,0,,
54.940015,0.953169,0,,
55.830681,0.890666,0,,
56.752598,0.921917,0,,
57.721392,0.968794,0,,
58.674561,0.953169,0,,
64.346695,0.968794,0,,
65.299864,0.953169,0,,
66.221781,0.921917,0,,
67.206201,0.98442,0,,
68.15937,0.953169,0,,
69.003159,0.843789,1,,
69.90945,0.906291,1,,
70.800116,0.890666,1,,
71.690782,0.890666,1,,
72.518945,0.828163,1,,
73.362733,0.843789,1,,
74.253399,0.890666,1,,
75.128439,0.87504,1,,
76.003479,0.87504,1,,
