x,y,z,distance,label
9,-5,60,1,0
9,-5,61,1,0
10,-5,61,1,0
10,-5,60,1,0
10,-5,61,1.414213562,0
9,-5,60,1,0
10,-5,60,0,0
10,-5,60,1,0
10,-5,61,0,0
10,-5,61,1.414213562,0
9,-5,60,1,0
9,-5,61,0,0
9,-5,61,1,0
9,-5,60,0,0
9,-5,60,1.414213562,0
10,-5,61,0,0
10,-5,61,1.414213562,0
9,-6,61,1.732050808,0
10,-5,60,0,0
10,-5,60,1,0
9,-5,60,1,0
9,-5,61,0,0
9,-5,61,0,0
9,-5,61,0,0
9,-5,61,1,0
10,-5,61,0,0
10,-5,61,0,0
10,-5,61,1.414213562,0
9,-5,60,1.414213562,0
10,-5,61,0,0
10,-5,61,1.414213562,0
9,-5,60,1,0
10,-5,60,1.414213562,0
9,-5,61,0,0
9,-5,61,1.414213562,0
10,-5,60,1,0
10,-5,61,0,0
10,-5,61,1,0
10,-5,60,1,0
10,-5,61,1.414213562,0
9,-5,60,1,0
9,-5,61,1.414213562,0
9,-6,60,1,0
9,-5,60,1,0
9,-5,61,1,0
10,-5,61,3.16227766,0
10,-6,58,4.472135955,0
10,-4,62,2.449489743,0
9,-5,60,1,0
9,-5,61,1.414213562,0
10,-5,60,1,0
10,-5,61,0,0
10,-5,61,1.414213562,0
9,-5,60,1.414213562,0
10,-5,61,1,0
9,-5,61,1,0
9,-5,60,1.414213562,0
10,-5,61,1,0
10,-5,60,1,0
9,-5,60,1,0
9,-5,61,1.414213562,0
8,-5,60,1,0
9,-5,60,0,0
9,-5,60,0,0
9,-5,60,2,0
9,-5,62,1,0
9,-5,61,0,0
9,-5,61,1.414213562,0
8,-5,60,1.414213562,0
9,-6,60,1.414213562,0
10,-6,61,1.414213562,0
9,-5,61,0,0
9,-5,61,1,0
9,-5,60,0,0
9,-5,60,1.414213562,0
8,-5,61,1,0
9,-5,61,1,0
9,-5,60,1,0
9,-5,61,1,0
9,-5,62,2.236067977,0
8,-5,60,1.732050808,0
9,-4,61,1.414213562,0
9,-5,60,1,0
9,-5,61,1,0
9,-5,60,1.732050808,0
8,-6,61,1.732050808,0
9,-5,60,1,0
8,-5,60,1,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,1.414213562,0
9,-5,60,1,0
9,-5,61,0,0
9,-5,61,0,0
9,-5,61,1,0
8,-5,61,1.414213562,0
9,-5,60,0,0
9,-5,60,1,0
9,-5,61,0,0
9,-5,61,0,0
9,-5,61,1,0
9,-5,60,0,0
9,-5,60,1,0
9,-5,61,1,0
8,-5,61,1,0
8,-5,60,1.414213562,0
9,-5,61,0,0
9,-5,61,1.414213562,0
8,-5,60,0,0
8,-5,60,1.414213562,0
9,-5,61,1,0
8,-5,61,1,0
9,-5,61,1,0
9,-5,60,0,0
9,-5,60,1,0
9,-5,61,1,0
9,-5,60,1.414213562,0
8,-5,61,1,0
9,-5,61,1.414213562,0
8,-5,60,1,0
9,-5,60,1,0
9,-5,61,1.414213562,0
8,-5,62,2.236067977,0
9,-5,60,1,0
8,-5,60,2,0
8,-5,62,1,0
8,-5,61,1,0
8,-5,60,1,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,1,0
8,-6,61,1,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,1,0
8,-5,60,1,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,1,0
8,-5,60,1,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,1,0
8,-5,60,1,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,1,0
8,-6,61,1,0
8,-6,60,0,0
8,-6,60,1.414213562,0
8,-5,61,1,0
8,-5,62,1,0
7,-5,62,1,0
7,-5,61,1,0
6,-5,61,2,0
8,-5,61,1.414213562,0
8,-6,60,0,0
8,-6,60,1,0
8,-6,61,1,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,0,0
8,-5,61,1.414213562,0
8,-6,62,2.236067977,0
6,-6,61,1,0
6,-6,60,0,0
6,-6,60,1.414213562,0
6,-5,61,1,0
6,-6,61,1,0
7,-6,61,1.732050808,0
8,-5,60,2.236067977,0
7,-5,62,1.414213562,0
8,-5,61,0,0
8,-5,61,1,0
7,-5,61,1.414213562,0
6,-6,61,1.414213562,0
7,-5,61,0,0
7,-5,61,1,0
6,-5,61,0,0
6,-5,61,0,0
6,-5,61,1,0
7,-5,61,0,0
7,-5,61,0,0
7,-5,61,1,0
6,-5,61,1,0
7,-5,61,1,0
6,-5,61,1,0
7,-5,61,0,0
7,-5,61,1,0
7,-4,61,0,0
7,-4,61,1,0
7,-5,61,0,0
7,-5,61,0,0
7,-5,61,1,0
8,-5,61,0,0
8,-5,61,2,0
6,-5,61,0,0
6,-5,61,0,0
6,-5,61,1,0
7,-5,61,0,0
7,-5,61,1,0
6,-5,61,1.414213562,0
7,-4,61,1.414213562,0
6,-5,61,1.414213562,0
6,-4,62,1,0
6,-5,62,1.414213562,0
6,-4,61,2.236067977,0
8,-5,61,2,0
6,-5,61,0,0
6,-5,61,1,0
7,-5,61,0,0
7,-5,61,2,0
5,-5,61,1,0
4,-5,61,2,0
6,-5,61,1,0
7,-5,61,1,0
6,-5,61,0,0
6,-5,61,0,0
6,-5,61,1,0
6,-4,61,1,0
6,-4,62,1,0
6,-4,61,1,0
6,-5,61,1,0
6,-4,61,1,0
5,-4,61,1,0
6,-4,61,1,0
6,-4,62,0,0
6,-4,62,1.414213562,0
5,-4,61,1.414213562,0
6,-5,61,1,0
5,-5,61,1,0
5,-4,61,1.414213562,0
6,-5,61,1,0
6,-4,61,1,0
5,-4,61,1,0
5,-5,61,0,0
5,-5,61,0,0
5,-5,61,0,0
5,-5,61,0,0
5,-5,61,1,0
6,-5,61,1,0
5,-5,61,1,0
6,-5,61,0,0
6,-5,61,2.236067977,0
4,-4,61,1,0
5,-4,61,0,0
5,-4,61,1,0
5,-5,61,0,0
5,-5,61,0,0
5,-5,61,1,0
6,-5,61,1,0
6,-4,61,1.414213562,0
5,-4,62,1,0
5,-4,61,2.236067977,0
7,-5,61,0,0
7,-5,61,2.236067977,0
5,-4,61,1.732050808,0
4,-5,62,1.414213562,0
5,-5,61,0,0
5,-5,61,0,0
5,-5,61,1,0
6,-5,61,1,0
6,-4,61,1.414213562,0
5,-4,62,1.414213562,0
4,-4,61,1,0
5,-4,61,1,0
5,-5,61,1.414213562,0
5,-4,62,1.414213562,0
6,-3,62,2.828427125,0
6,-5,60,2.449489743,0
4,-4,61,2.449489743,0
6,-5,62,1.414213562,0
5,-5,61,1,0
6,-5,61,0,0
6,-5,61,0,0
6,-5,61,1,0
5,-5,61,0,0
5,-5,61,1,0
5,-5,60,1.732050808,0
4,-4,61,1,0
4,-5,61,1.414213562,0
5,-4,61,2.236067977,0
3,-4,62,1.414213562,0
2,-4,61,2.449489743,0
3,-3,63,3,0
1,-4,61,0,0
1,-4,61,1,0
1,-4,62,3.16227766,0
-2,-3,62,1,0
-2,-4,62,1,0
-2,-4,61,1,0
-1,-4,61,0,0
-1,-4,61,0,0
-1,-4,61,1.414213562,0
0,-4,62,1.414213562,0
0,-3,63,1.414213562,0
0,-4,62,0,0
0,-4,62,1,0
0,-4,61,0,0
0,-4,61,1,0
0,-4,62,0,0
0,-4,62,1,0
0,-4,61,1.414213562,0
1,-4,62,1,0
0,-4,62,0,0
0,-4,62,1,0
0,-3,62,1,0
0,-4,62,1.414213562,0
1,-4,61,0,0
1,-4,61,1.414213562,0
0,-4,62,0,0
0,-4,62,1,0
1,-4,62,0,0
1,-4,62,0,0
1,-4,62,1,0
1,-4,61,1,0
1,-4,62,0,0
1,-4,62,1,0
1,-4,61,1.414213562,0
0,-4,62,1.414213562,0
1,-4,61,1.414213562,0
0,-4,62,0,0
0,-4,62,0,0
0,-4,62,0,0
0,-4,62,1,0
0,-4,61,1,0
0,-4,62,1.414213562,0
0,-5,61,0,0
0,-5,61,1.414213562,0
0,-4,62,1,0
0,-4,61,2,0
0,-4,63,7,0
6,-6,60,8.602325267,0
-1,-3,64,2.236067977,0
-1,-4,62,1,0
-1,-5,62,1.732050808,0
0,-4,61,2.449489743,0
-1,-5,63,2,0
-1,-5,61,1,0
0,-5,61,0,0
0,-5,61,1.732050808,0
1,-4,62,1,0
1,-4,61,1,0
0,-4,61,1,0
0,-5,61,1,0
0,-5,62,1,0
0,-5,61,1.414213562,0
0,-4,62,0,0
0,-4,62,1.414213562,0
1,-5,62,1.414213562,0
2,-5,61,1.414213562,0
2,-4,62,1.732050808,0
1,-5,61,1,0
1,-5,62,0,0
1,-5,62,1,0
0,-5,62,1.414213562,0
1,-5,61,1,0
1,-4,61,1,0
1,-5,61,1,0
0,-5,61,0,0
0,-5,61,1,0
0,-5,62,1,0
1,-5,62,1.414213562,0
1,-4,61,1,0
