x,y,z,difference,label
32,32,32,70.11419257,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-15,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,1.732050808,0
-11,-15,59,1.414213562,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-11,-16,58,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-11,-16,59,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,0,0
-11,-16,59,1.414213562,0
-12,-16,58,1.414213562,0
-11,-16,59,1,0
-11,-16,58,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1.414213562,0
-11,-16,59,1,0
-12,-16,59,1.414213562,0
-11,-16,58,0,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,0,0
-11,-16,59,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,1,0
-11,-16,58,0,0
-11,-16,58,1.414213562,0
-12,-16,59,1,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,0,0
-11,-16,58,1,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,1,0
-11,-16,58,1,0
-11,-16,59,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-11,-16,58,1.414213562,0
-12,-16,59,1,0
-11,-16,59,1,0
-12,-16,59,1.414213562,0
-11,-16,58,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1.414213562,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,0,0
-11,-16,59,1.414213562,0
-12,-16,58,1,0
-11,-16,58,0,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-11,-16,59,1,0
-11,-16,58,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1.414213562,0
-11,-16,58,1,0
-12,-16,58,1.414213562,0
-11,-16,59,1,0
-11,-16,58,1,0
-11,-16,59,0,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1.414213562,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-11,-16,58,1,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,0,0
-11,-16,58,0,0
-11,-16,58,0,0
-11,-16,58,1,0
-12,-16,58,1,0
-11,-16,58,1,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1.414213562,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,0,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-13,-16,58,1,0
-12,-16,58,1,0
-12,-17,58,1.414213562,0
-12,-16,59,1,0
-11,-16,59,1.414213562,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-17,58,1.414213562,0
-11,-16,58,1.414213562,0
-12,-17,58,1,0
-12,-17,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-17,58,1,0
-12,-16,58,1,0
-12,-17,58,1,0
-12,-16,58,1.732050808,0
-11,-17,59,1.414213562,0
-12,-17,58,1,0
-13,-17,58,2.236067977,0
-11,-17,59,1.732050808,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-17,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-17,58,0,0
-12,-17,58,1,0
-13,-17,58,1,0
-12,-17,58,0,0
-12,-17,58,1.414213562,0
-13,-16,58,1,0
-12,-16,58,1.414213562,0
-13,-17,58,1.414213562,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-17,58,1.414213562,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,0,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-11,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-13,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-13,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-13,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-13,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-13,-16,58,0,0
-13,-16,58,2,0
-11,-16,58,1.414213562,0
-12,-17,58,1,0
-13,-17,58,1,0
-14,-17,58,3,0
-11,-17,58,1.732050808,0
-12,-18,57,1,0
-12,-19,57,0,0
-12,-19,57,1.732050808,0
-11,-20,58,1,0
-11,-19,58,0,0
-11,-19,58,1.414213562,0
-11,-20,57,1,0
-12,-20,57,2.236067977,0
-12,-18,58,2.236067977,0
-12,-19,56,1,0
-13,-19,56,2.828427125,0
-11,-19,58,1.414213562,0
-12,-18,58,1.414213562,0
-13,-18,57,1.732050808,0
-12,-17,58,1,0
-12,-18,58,0,0
-12,-18,58,0,0
-12,-18,58,1,0
-12,-17,58,1,0
-13,-17,58,1,0
-14,-17,58,1.414213562,0
-13,-16,58,2,0
-11,-16,58,1,0
-11,-15,58,1,0
-12,-15,58,1,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1.414213562,0
-12,-15,58,1.414213562,0
-12,-16,59,1.414213562,0
-11,-15,59,1,0
-12,-15,59,1.414213562,0
-13,-16,59,0,0
-13,-16,59,2.236067977,0
-12,-14,59,3.741657387,0
-15,-15,57,3,0
-13,-16,59,2.236067977,0
-12,-14,59,2,0
-14,-14,59,1.414213562,0
-14,-15,58,1.414213562,0
-13,-14,58,0,0
-13,-14,58,1.414213562,0
-13,-15,59,1,0
-13,-15,58,1.414213562,0
-12,-15,59,1,0
-13,-15,59,1,0
-13,-15,58,1,0
-13,-15,59,1,0
-13,-15,58,1.414213562,0
-14,-14,58,1,0
-14,-15,58,1,0
-14,-15,59,1,0
-14,-15,58,1,0
-14,-15,57,2.236067977,0
-13,-15,59,1,0
-13,-15,58,1,0
-14,-15,58,0,0
-14,-15,58,1,0
-13,-15,58,0,0
-13,-15,58,1,0
-13,-16,58,1,0
-13,-15,58,1,0
-13,-15,59,1.414213562,0
-13,-16,58,0,0
-13,-16,58,1,0
-12,-16,58,1,0
-12,-16,59,1.414213562,0
-13,-16,58,1,0
-13,-15,58,1,0
-13,-16,58,0,0
-13,-16,58,1,0
-13,-16,59,0,0
-13,-16,59,1,0
-13,-16,58,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-13,-16,58,1.414213562,0
-12,-16,59,1.414213562,0
-12,-17,58,1,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-16,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1.414213562,0
-11,-17,58,1.414213562,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-17,58,0,0
-12,-17,58,1,0
-11,-17,58,1.414213562,0
-12,-16,58,1,0
-12,-17,58,1,0
-12,-16,58,0,0
-12,-16,58,1,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,1,0
-11,-17,58,1,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,0,0
-12,-17,58,1,0
-12,-17,59,1,0
-11,-17,59,2.236067977,0
-13,-17,58,1,0
-12,-17,58,1.414213562,0
-13,-16,58,1,0
-13,-17,58,1.414213562,0
-12,-16,58,1,0
-13,-16,58,0,0
-13,-16,58,1.414213562,0
-12,-15,58,1.414213562,0
-13,-16,58,1.414213562,0
-12,-15,58,1,0
-12,-15,59,1,0
-12,-16,59,1,0
-12,-15,59,1.414213562,0
-12,-16,58,0,0
-12,-16,58,1,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,1,0
-12,-16,58,1,0
-13,-16,58,0,0
-13,-16,58,1.414213562,0
-12,-15,58,1,0
-12,-16,58,1,0
-12,-16,59,0,0
-12,-16,59,1.732050808,0
-13,-15,58,1.414213562,0
-13,-16,59,1,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,1,0
-13,-15,58,1,0
-13,-16,58,0,0
-13,-16,58,1,0
-13,-16,59,1,0
-13,-16,58,1,0
-13,-15,58,1,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,1,0
-13,-16,59,1,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,1,0
-13,-15,58,1,0
-13,-16,58,1,0
-12,-16,58,1,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,1,0
-13,-16,59,1,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
-13,-16,58,0,0
