bvp,label
64,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.01,0
0,0
-0.03,0
-0.05,0
-0.05,0
0,0
0.13,0
0.36,0
0.66,0
1.01,0
1.37,0
1.72,0
2.06,0
2.4,0
2.79,0
3.24,0
3.8,0
4.42,0
5.06,0
5.66,0
6.2,0
6.68,0
7.15,0
7.68,0
8.31,0
9.14,0
10.09,0
11.04,0
11.88,0
12.56,0
13.14,0
13.76,0
14.65,0
15.96,0
17.91,0
20.32,0
22.9,0
25.38,0
27.58,0
29.57,0
31.68,0
34.32,0
37.81,0
42.54,0
48.15,0
54.1,0
59.83,0
64.97,0
69.58,0
74.14,0
79.34,0
85.71,0
93.76,0
103,0
112.62,0
121.73,0
129.77,0
136.75,0
143.3,0
150.75,0
157.77,0
166.64,0
177.95,0
191.79,0
206.97,0
220.57,0
228.25,0
225.36,0
208.53,0
176.87,0
132.76,0
80.05,0
23.07,0
-34.94,0
-92.44,0
-149.16,0
-205.23,0
-260.37,0
-313.74,0
-363.87,0
-409.82,0
-450.88,0
-486.46,0
-515.67,0
-537.13,0
-549.08,0
-549.78,0
-538.14,0
-513.93,0
-478.34,0
-433.48,0
-381.99,0
-326.5,0
-269.25,0
-211.97,0
-155.92,0
-102.14,0
-51.48,0
-4.93,0
36.64,0
72.59,0
102.62,0
126.88,0
145.89,0
160.34,0
170.95,0
178.34,0
182.92,0
184.96,0
184.7,0
182.41,0
178.43,0
173.19,0
167.08,0
160.45,0
153.56,0
146.54,0
139.47,0
132.39,0
125.34,0
118.39,0
111.6,0
105.05,0
98.79,0
92.86,0
87.26,0
82.02,0
77.13,0
72.61,0
68.47,0
64.71,0
61.34,0
58.37,0
55.79,0
53.6,0
51.8,0
50.35,0
49.21,0
48.32,0
47.56,0
46.82,0
45.92,0
44.69,0
42.95,0
40.55,0
37.39,0
33.41,0
28.65,0
23.14,0
17.06,0
10.62,0
4.06,0
-2.33,0
-8.3,0
-13.62,0
-18.11,0
-21.64,0
-24.18,0
-25.71,0
-26.32,0
-26.11,0
-25.22,0
-23.79,0
-21.97,0
-19.86,0
-17.56,0
-15.14,0
-12.62,0
-10.05,0
-7.46,0
-4.86,0
-2.25,0
0.38,0
3.04,0
5.72,0
8.47,0
11.31,0
14.21,0
17.15,0
20.14,0
23.2,0
26.35,0
29.62,0
33.04,0
36.67,0
40.56,0
44.62,0
48.81,0
53.08,0
57.44,0
61.89,0
66.44,0
71.15,0
76.07,0
81.31,0
86.74,0
92.27,0
97.86,0
103.49,0
109.12,0
114.76,0
120.41,0
126.07,0
131.8,0
137.29,0
142.34,0
146.72,0
150.21,0
152.53,0
153.32,0
152.1,0
148.16,0
142.85,0
136.66,0
129.91,0
122.8,0
115.52,0
108.17,0
100.88,0
93.76,0
86.95,0
80.62,0
74.6,0
68.83,0
63.29,0
57.97,0
52.9,0
48.09,0
43.59,0
39.47,0
35.83,0
32.5,0
29.42,0
26.53,0
23.81,0
21.25,0
18.86,0
16.67,0
14.71,0
13.04,0
11.57,0
10.24,0
9.01,0
7.84,0
6.73,0
5.63,0
4.56,0
3.53,0
2.56,0
1.62,0
0.71,0
-0.15,0
-0.96,0
-1.69,0
-2.31,0
-2.81,0
-3.2,0
-3.48,0
-3.69,0
-3.87,0
-4.04,0
-4.27,0
-4.56,0
-4.97,0
-5.52,0
-6.21,0
-7.01,0
-7.86,0
-8.69,0
-9.43,0
-10.02,0
-10.45,0
-10.73,0
-10.93,0
-11.08,0
-11.24,0
-11.42,0
-11.59,0
-11.76,0
-11.9,0
-12.07,0
-12.31,0
-12.73,0
-13.38,0
-14.26,0
-15.31,0
-16.41,0
-17.47,0
-18.42,0
-19.34,0
-20.41,0
-21.85,0
-23.87,0
-26.49,0
-29.58,0
-32.86,0
-36.05,0
-39.01,0
-41.84,0
-44.88,0
-48.62,0
-53.41,0
-59.37,0
-66.25,0
-73.53,0
-80.68,0
-87.4,0
-93.81,0
-100.46,0
-108.1,0
-117.35,0
-128.37,0
-140.81,0
-154,0
