hr,label
1,0
63,0
73,0
68.33,0
63.5,0
60.6,0
61.17,0
61.14,0
61,0
62.33,0
63.2,0
63.91,0
64.5,0
64.92,0
65.36,0
65.73,0
66.06,0
66.29,0
66.5,0
66.63,0
66.7,0
66.76,0
66.82,0
66.87,0
66.88,0
66.88,0
66.88,0
66.89,0
66.93,0
66.97,0
67,0
67.03,0
67.06,0
67.09,0
67.12,0
67.11,0
67.11,0
67.11,0
67.08,0
67.05,0
67.03,0
66.98,0
66.93,0
66.88,0
66.84,0
66.8,0
66.76,0
66.74,0
66.73,0
66.71,0
66.7,0
66.69,0
66.69,0
66.7,0
66.7,0
66.73,0
66.75,0
66.79,0
66.83,0
66.86,0
66.92,0
67.03,0
66.82,0
67,0
67.35,0
67.68,0
67.77,0
67.9,0
68.05,0
67.98,0
67.95,0
67.92,0
67.92,0
67.93,0
67.95,0
67.98,0
68.02,0
68.07,0
68.12,0
68.18,0
68.25,0
68.3,0
68.33,0
68.35,0
68.37,0
68.38,0
68.38,0
68.38,0
68.38,1
68.38,1
68.38,1
68.38,1
68.38,1
68.38,1
68.4,1
68.43,1
68.43,1
68.47,1
68.53,1
68.63,1
